Cereal 40 2.99 1 0
breakfast_bar 45 2.75 2 0
eggs_m_12 30 1.49 3 0
eggs_l_12 33 1.8 4 0
eggs_xl_12 25 2.99 5 0
milk_gal 50 3.01 6 0
milk_hgal 77 2.1 7 0
yogurt 100 1.99 8 0
bread 60 2.25 9 0
ketchup 50 1.49 10 0
beer_12pk 50 5.99 11 1
cigarette_pack 60 6.99 12 1
potato_chips 50 3.49 13 0
torilla_chips 55 3.29 14 0
vape_juice 25 8.99 15 1
water_gal 80 1.99 15 0
water_bottles 100 2.99 16 0
ice_cream 68 4.49 17 0
hotdogs_8pk 50 3.77 18 0
hotdog_bun_6 55 2.89 19 0
mustard 49 1.99 20 0
beer_40oz 54 4.49 22 1
